Starting API (port 8091) and UI (port 5174, strict)...
API: http://127.0.0.1:8091  UI: http://localhost:5174
Run 'make dev-stop' to stop both servers.
INFO:     Will watch for changes in these directories: ['/home/tim/Projects/LLM/aria-designer/api']
INFO:     Uvicorn running on http://127.0.0.1:8091 (Press CTRL+C to quit)
INFO:     Started reloader process [124540] using StatReload

  VITE v5.4.21  ready in 72 ms

  ➜  Local:   http://localhost:5174/
  ➜  Network: use --host to expose
INFO:     Started server process [124553]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
DEBUG: Initializing DB at /home/tim/Projects/LLM/aria-designer/api/aria_designer.db
DEBUG: Opening new connection to /home/tim/Projects/LLM/aria-designer/api/aria_designer.db
DEBUG: DB initialization complete
DEBUG: Opening new connection to /home/tim/Projects/LLM/aria-designer/api/aria_designer.db
INFO:     127.0.0.1:47964 - "GET /health HTTP/1.1" 200 OK
DEBUG: Opening new connection to /home/tim/Projects/LLM/aria-designer/api/aria_designer.db
INFO:     127.0.0.1:47990 - "GET /api/v1/aria/proposals?status=pending HTTP/1.1" 200 OK
INFO:     127.0.0.1:47974 - "GET /api/v1/components?status=approved HTTP/1.1" 200 OK
INFO:     127.0.0.1:48004 - "GET /api/v1/aria/proposals?status=pending HTTP/1.1" 200 OK
INFO:     127.0.0.1:48004 - "GET /api/v1/components?status=approved HTTP/1.1" 200 OK
INFO:     127.0.0.1:48004 - "POST /api/v1/import/survivors/e6e50f7a-ea5 HTTP/1.1" 200 OK
INFO:     127.0.0.1:48004 - "OPTIONS /api/v1/constraints/palette HTTP/1.1" 200 OK
INFO:     127.0.0.1:47974 - "POST /api/v1/constraints/palette HTTP/1.1" 200 OK
INFO:     127.0.0.1:47974 - "GET /api/v1/aria/proposals?status=pending HTTP/1.1" 200 OK
INFO:     127.0.0.1:47974 - "GET /api/v1/aria/proposals?status=pending HTTP/1.1" 200 OK
DEBUG: Opening new connection to /home/tim/Projects/LLM/aria-designer/api/aria_designer.db
INFO:     127.0.0.1:58462 - "GET /api/v1/components?status=approved HTTP/1.1" 200 OK
INFO:     127.0.0.1:58472 - "GET /api/v1/aria/proposals?status=pending HTTP/1.1" 200 OK
INFO:     127.0.0.1:58492 - "GET /api/v1/aria/proposals?status=pending HTTP/1.1" 200 OK
INFO:     127.0.0.1:58482 - "GET /api/v1/components?status=approved HTTP/1.1" 200 OK
INFO:     127.0.0.1:58502 - "POST /api/v1/workflows/compile HTTP/1.1" 200 OK
INFO:     127.0.0.1:58510 - "POST /api/v1/workflows/run HTTP/1.1" 200 OK
INFO:     127.0.0.1:58520 - "POST /api/v1/workflows/compile HTTP/1.1" 200 OK
INFO:     127.0.0.1:58528 - "POST /api/v1/workflows/run HTTP/1.1" 200 OK
INFO:     127.0.0.1:58542 - "POST /api/v1/workflows/compile HTTP/1.1" 200 OK
INFO:     127.0.0.1:58556 - "POST /api/v1/workflows/run HTTP/1.1" 200 OK
INFO:     127.0.0.1:58570 - "POST /api/v1/workflows/compile HTTP/1.1" 200 OK
INFO:     127.0.0.1:58584 - "POST /api/v1/workflows/run HTTP/1.1" 200 OK
INFO:     127.0.0.1:58482 - "OPTIONS /api/v1/constraints/palette HTTP/1.1" 200 OK
INFO:     127.0.0.1:58588 - "POST /api/v1/workflows/compile HTTP/1.1" 200 OK
INFO:     127.0.0.1:58604 - "POST /api/v1/workflows/run HTTP/1.1" 200 OK
INFO:     127.0.0.1:58492 - "POST /api/v1/constraints/palette HTTP/1.1" 200 OK
INFO:     127.0.0.1:58492 - "POST /api/v1/constraints/palette HTTP/1.1" 200 OK
INFO:     127.0.0.1:58492 - "GET /api/v1/aria/proposals?status=pending HTTP/1.1" 200 OK
INFO:     127.0.0.1:58492 - "GET /api/v1/aria/proposals?status=pending HTTP/1.1" 200 OK
INFO:     127.0.0.1:58492 - "GET /api/v1/aria/proposals?status=pending HTTP/1.1" 200 OK
INFO:     127.0.0.1:58492 - "GET /api/v1/aria/proposals?status=pending HTTP/1.1" 200 OK
INFO:     127.0.0.1:58492 - "GET /api/v1/aria/proposals?status=pending HTTP/1.1" 200 OK
DEBUG: Opening new connection to /home/tim/Projects/LLM/aria-designer/api/aria_designer.db
INFO:     127.0.0.1:35816 - "GET /api/v1/components?status=approved HTTP/1.1" 200 OK
INFO:     127.0.0.1:35822 - "GET /api/v1/aria/proposals?status=pending HTTP/1.1" 200 OK
INFO:     127.0.0.1:35840 - "GET /api/v1/aria/proposals?status=pending HTTP/1.1" 200 OK
INFO:     127.0.0.1:35838 - "GET /api/v1/components?status=approved HTTP/1.1" 200 OK
INFO:     127.0.0.1:35842 - "POST /api/v1/workflows/compile HTTP/1.1" 200 OK
INFO:     127.0.0.1:35858 - "POST /api/v1/workflows/run HTTP/1.1" 200 OK
